date,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2022-12-07,271.5293273925781,271.8797565127181,267.26729536194836,270.02341287687284,1861600
2022-12-08,276.7005920410156,278.5095913740549,271.67139642610886,272.7700570688646,2046000
2022-12-09,273.15838623046875,276.3406897731229,272.65641469890403,274.0865725489542,1827200
2022-12-12,276.8805847167969,277.4583419605883,269.4362480975588,271.00846808235224,2429900
2022-12-13,279.73138427734375,287.8576462422739,277.439345367168,286.9389403725916,3516800
2022-12-14,276.03765869140625,281.5688264675551,272.6374783300518,278.5001433142828,2552200
2022-12-15,266.2538757324219,273.1394438544575,264.5111816345061,272.2301895308671,2870000
2022-12-16,250.49388122558594,260.4575562445703,249.32891520502957,260.1450198947309,6532500
2022-12-19,241.89401245117188,250.28549577217828,240.71959498695372,249.2436598424248,4147500
2022-12-20,248.05027770996094,248.55224925426916,240.09448974759667,240.32180334293332,3102500
2022-12-21,254.6990203857422,256.3943410287295,250.4275083677514,250.49381357379042,3580100
2022-12-22,250.75909423828125,251.86720665708938,246.85697078403817,250.45600939234194,2276200
2022-12-23,252.01864624023438,252.60585482477182,249.3856591360584,251.73452237795817,1213300
2022-12-27,251.2799530029297,253.08895241820528,249.7551064189381,251.85771019391095,1009600
2022-12-28,249.20574951171875,254.90741987961374,248.77956364113612,252.0281723042941,1387000
2022-12-29,254.18760681152344,256.5459220628262,251.54513873597864,251.54513873597864,1516800
2022-12-30,252.7290496826172,252.77642294099195,248.71327724481412,251.49780742499112,1339500
2023-01-03,255.96817016601562,258.96106710185717,252.92789997862798,254.9642272012796,2250100
2023-01-04,255.0968780517578,260.43863994581255,252.89010479650824,258.9705890164306,2052400
2023-01-05,249.07313537597656,253.96026837841575,247.5766725496233,253.27834217101142,2477100
2023-01-06,254.9737091064453,256.1860193726618,247.5483051128997,250.02029890252288,1587000
2023-01-09,259.273681640625,263.7630139474999,257.1521455131165,257.54046755498405,2181500
